Species2,Family2,Order2,Avibase.ID2,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,common_name,scientific_name_23
Accipiter albogularis,Accipitridae,Accipitriformes,AVIBASE-BBB59880,5,2,0,3,4,27.7,17.8,10.6,14.7,62,235.2,81.8,159.5,33.9,169,248.8,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Vertivore,Insessorial,Pied Goshawk,Accipiter albogularis
Accipiter badius,Accipitridae,Accipitriformes,AVIBASE-1A0ECB6E,10,4,6,0,8,20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,32.9,140.6,131.2,Dunning,NA,NO,NA,NA,Shrubland,2,3,Carnivore,Vertivore,Insessorial,Shikra,Accipiter badius
Accipiter bicolor,Accipitridae,Accipitriformes,AVIBASE-ADBE44E1,11,4,5,2,8,25,13.7,8.6,12.7,58.1,229.6,56.6,174.8,24.6,186.3,287.5,Dunning,NA,NO,NA,NA,Woodland,2,2,Carnivore,Vertivore,Generalist,Bicolored Hawk,Accipiter bicolor
Accipiter brachyurus,Accipitridae,Accipitriformes,AVIBASE-68BF920B,4,4,0,0,3,22.5,14,8.9,11.9,61.2,202.2,64.1,138.1,31.7,140.8,142,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Vertivore,Insessorial,New Britain Sparrowhawk,Accipiter brachyurus
Accipiter brevipes,Accipitridae,Accipitriformes,AVIBASE-8492E4B7,8,4,4,0,4,21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,40.2,153.5,186.5,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Vertivore,Generalist,Levant Sparrowhawk,Accipiter brevipes
Accipiter butleri,Accipitridae,Accipitriformes,AVIBASE-6B64C150,1,0,1,0,1,20,11.9,6.6,12,48.7,166,42.9,123.1,25.8,127,122,Updated_literature,Dunning (2021),NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,Nicobar Sparrowhawk,Accipiter butleri
Accipiter castanilius,Accipitridae,Accipitriformes,AVIBASE-9D80E72A,6,2,2,2,4,20.5,11.5,8.3,10.9,52.6,163.5,38.9,123.1,24,135.4,157.5,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Vertivore,Insessorial,Chestnut-flanked Sparrowhawk,Accipiter castanilius
Accipiter cirrocephalus,Accipitridae,Accipitriformes,AVIBASE-21957C95,5,2,3,0,4,19.2,10.6,7.7,9.6,60.3,213,81.3,133.7,37.8,155.4,165.7,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Vertivore,Generalist,Collared Sparrowhawk,Accipiter cirrocephalus
Accipiter collaris,Accipitridae,Accipitriformes,AVIBASE-32760AD5,7,1,5,1,6,20,11.2,8.6,11,43.6,165.9,49.5,115.2,30,125,97.8,Updated_literature,BoW,NO,NA,NA,Forest,1,2,Carnivore,Vertivore,Insessorial,Semicollared Hawk,Microspizias collaris
Accipiter cooperii,Accipitridae,Accipitriformes,AVIBASE-EB98812F,5,2,3,0,4,25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,32.3,188.4,429.7,Dunning,NA,NO,NA,NA,Woodland,2,3,Carnivore,Vertivore,Aerial,Cooper's Hawk,Accipiter cooperii
Accipiter erythrauchen,Accipitridae,Accipitriformes,AVIBASE-950C5048,4,3,1,0,4,21.1,12.2,8.6,11.2,59.5,191.2,58.9,132.4,30.8,154.8,156,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Generalist,Rufous-necked Sparrowhawk,Accipiter erythrauchen
Accipiter erythropus,Accipitridae,Accipitriformes,AVIBASE-AFD19C47,5,2,3,0,4,17.6,9.7,7.2,9.6,43,154.6,40.9,110.1,27.1,104.4,111.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,Red-thighed Sparrowhawk,Accipiter erythropus
Accipiter fasciatus,Accipitridae,Accipitriformes,AVIBASE-8257AE54,11,8,3,0,9,28.5,19.1,11.2,15.2,71.9,269.9,103.6,167.3,38.3,206,358.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Generalist,Brown Goshawk,Accipiter fasciatus
Accipiter francesiae,Accipitridae,Accipitriformes,AVIBASE-0307D245,10,2,8,0,9,20.2,13.1,8.7,10.7,48.1,155.8,43.2,112.8,27.8,127.5,136.8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Frances's Sparrowhawk,Accipiter francesiae
Accipiter gentilis,Accipitridae,Accipitriformes,AVIBASE-420850D6,8,4,4,0,4,33.7,19.6,11.6,18,67.3,337.6,122.6,215,36.3,241.1,866,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Vertivore,Generalist,American Goshawk,Accipiter atricapillus
Accipiter griseiceps,Accipitridae,Accipitriformes,AVIBASE-4C2DBB2A,4,3,1,0,3,24.1,14.6,8.8,12.4,52,187.2,50,137.3,26.8,141.2,251.8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,Sulawesi Goshawk,Accipiter griseiceps
Accipiter gularis,Accipitridae,Accipitriformes,AVIBASE-797C9090,5,0,4,1,4,23.3,9.5,6.6,9.1,43.6,162.6,54.2,109,33.2,106.4,120.7,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Vertivore,Insessorial,Japanese Sparrowhawk,Accipiter gularis
Accipiter gundlachi,Accipitridae,Accipitriformes,AVIBASE-0EDF5A1C,1,0,1,0,1,26,15.2,8.3,16.3,71.3,228,61.8,166.2,27.1,223,675,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Aerial,Gundlach's Hawk,Accipiter gundlachi
Accipiter haplochrous,Accipitridae,Accipitriformes,AVIBASE-18B4CE02,4,3,1,0,4,23.7,13.9,9.6,13.2,58.9,227.8,74.5,153.2,32.7,155,198.4,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,New Caledonian Goshawk,Accipiter haplochrous
Accipiter henicogrammus,Accipitridae,Accipitriformes,AVIBASE-9288286D,5,2,3,0,4,27.9,15.9,10,13.6,65.1,230.2,72,160.5,31.1,190,358.7,Inferred,NA,YES,Body Mass,Accipiter fasciatus,Forest,1,1,Carnivore,Vertivore,Insessorial,Moluccan Goshawk,Accipiter henicogrammus
Accipiter henstii,Accipitridae,Accipitriformes,AVIBASE-05701150,4,2,2,0,4,32.6,18.1,11.8,17.2,75,290.5,78,212.5,27,245,1050,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,Henst's Goshawk,Accipiter henstii
Accipiter hiogaster,Accipitridae,Accipitriformes,AVIBASE-A4AAB528,6,4,2,0,6,26,15.6,9.3,13.6,52.2,200.3,62.5,137.8,31.2,140,326.1,DataFromSplit,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,Variable Goshawk,Accipiter hiogaster
Accipiter imitator,Accipitridae,Accipitriformes,AVIBASE-466CC533,1,1,0,0,1,26.4,16.8,9.1,12.2,49.6,200,60,140,30,161,222.5,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,Imitator Sparrowhawk,Accipiter imitator
Accipiter luteoschistaceus,Accipitridae,Accipitriformes,AVIBASE-EA787A01,1,0,1,0,0,26.4,16.8,7.8,11.9,51.5,188,57,131,30.3,146,214,Dunning,NA,YES,Beak Culmen; Beak Nares,Accipiter imitator,Forest,1,1,Carnivore,Vertivore,Insessorial,Slaty-mantled Goshawk,Accipiter luteoschistaceus
Accipiter madagascariensis,Accipitridae,Accipitriformes,AVIBASE-5D673E3E,4,2,2,0,4,19.7,10.7,7.4,9.4,58,190.8,54.5,136.2,28.7,149.5,180.4,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,Madagascar Sparrowhawk,Accipiter madagascariensis
Accipiter melanochlamys,Accipitridae,Accipitriformes,AVIBASE-1F0322E5,5,2,3,0,4,25.9,15.6,11,13.9,62.7,228.6,75,156.2,32.4,164.8,265,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Generalist,Black-mantled Goshawk,Accipiter melanochlamys
Accipiter melanoleucus,Accipitridae,Accipitriformes,AVIBASE-819AB823,5,2,3,0,4,29.6,18,10.3,16.3,75.8,302.8,107.2,200.8,35,219.4,699,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Generalist,Black Goshawk,Accipiter melanoleucus
Accipiter meyerianus,Accipitridae,Accipitriformes,AVIBASE-87B94C0E,2,1,1,0,2,35,20.6,12.6,18.6,75.4,309.5,102,207.5,33,200,763.5,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Generalist,Meyer's Goshawk,Accipiter meyerianus
Accipiter minullus,Accipitridae,Accipitriformes,AVIBASE-CE1CF6FD,5,3,2,0,5,16.5,9.2,6.6,8.8,41.3,150.4,44.6,105.8,29.6,105.2,87.4,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Generalist,Little Sparrowhawk,Accipiter minullus
Accipiter nanus,Accipitridae,Accipitriformes,AVIBASE-7F1573CA,2,0,2,0,1,17.6,10.6,7.6,10.1,46.6,152.4,44.9,107.5,29.5,109,117,Inferred,NA,YES,Body Mass,Accipiter virgatus,Forest,1,1,Carnivore,Invertivore,Insessorial,Small Sparrowhawk,Accipiter nanus
Accipiter nisus,Accipitridae,Accipitriformes,AVIBASE-DB376A66,19,6,13,0,10,19.6,11.4,8.4,10,53.6,207.4,74.2,134.3,35.5,155.5,220.8,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Vertivore,Insessorial,Eurasian Sparrowhawk,Accipiter nisus
Accipiter novaehollandiae,Accipitridae,Accipitriformes,AVIBASE-CFB9E213,8,5,3,0,7,31.6,19.9,11.5,16.5,69,261.9,76,188.3,28.9,183.6,326.1,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,Gray Goshawk,Accipiter novaehollandiae
Accipiter ovampensis,Accipitridae,Accipitriformes,AVIBASE-BAE91683,5,2,3,0,4,20.5,11.2,7.5,10.3,49.4,222.4,86.2,138.5,38.4,155,195,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Vertivore,Aerial,Ovambo Sparrowhawk,Accipiter ovampensis
Accipiter poliocephalus,Accipitridae,Accipitriformes,AVIBASE-435FF493,4,2,2,0,4,25,15.4,10.1,13.7,60.3,210.5,67.8,142.8,32.1,157.2,214.8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,Gray-headed Goshawk,Accipiter poliocephalus
Accipiter poliogaster,Accipitridae,Accipitriformes,AVIBASE-707547BB,5,2,3,0,3,27.7,14.9,8,13.2,52.4,240.4,72.6,172.2,29.6,174.6,315,Updated_literature,Dunning (2021),NO,NA,NA,Forest,1,2,Carnivore,Vertivore,Insessorial,Gray-bellied Hawk,Accipiter poliogaster
Accipiter princeps,Accipitridae,Accipitriformes,AVIBASE-B202721E,2,1,1,0,2,33.6,22.2,13.8,17.8,68,266.3,77.8,188.5,29.2,192.3,214.8,Inferred,NA,YES,Body Mass,Accipiter poliocephalus,Forest,1,1,Carnivore,Vertivore,Insessorial,New Britain Goshawk,Accipiter princeps
Accipiter rhodogaster,Accipitridae,Accipitriformes,AVIBASE-C638D858,5,2,3,0,4,20.5,11.8,7.9,10.8,53.4,172.6,51.6,122.4,29.7,125.8,172.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,Vinous-breasted Sparrowhawk,Accipiter rhodogaster
Accipiter rufitorques,Accipitridae,Accipitriformes,AVIBASE-5B6F04D7,5,2,3,0,4,26,15.4,10.3,13.7,59.2,217.6,73.5,142,34.1,146,209,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Generalist,Fiji Goshawk,Accipiter rufitorques
Accipiter rufiventris,Accipitridae,Accipitriformes,AVIBASE-EC0E680F,5,2,3,0,4,20.3,10.7,7.8,10,54.2,218.6,83,134.3,38.1,165.8,198,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Aerial,Rufous-breasted Sparrowhawk,Accipiter rufiventris
Accipiter soloensis,Accipitridae,Accipitriformes,AVIBASE-D188E45C,5,2,3,0,4,25.6,11.4,8.6,9.7,39.5,187.8,73.1,114.4,39,123.4,164.8,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Vertivore,Insessorial,Chinese Sparrowhawk,Accipiter soloensis
Accipiter striatus,Accipitridae,Accipitriformes,AVIBASE-3B024163,20,8,10,2,16,18.3,10.1,7.3,9.4,49.9,181.6,56.6,126.8,30.7,134.3,130.6,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Vertivore,Aerial,Sharp-shinned Hawk,Accipiter striatus
Accipiter superciliosus,Accipitridae,Accipitriformes,AVIBASE-F23F7695,5,2,3,0,4,19.4,10.8,6.7,10.4,37.4,146.4,38.6,105.2,26.9,104.6,96.4,Updated_literature,BoW,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Aerial,Tiny Hawk,Microspizias superciliosus
Accipiter tachiro,Accipitridae,Accipitriformes,AVIBASE-CD18635A,5,2,3,0,5,18,15.3,9.1,12.4,65.7,217.4,55.6,161.8,25.7,175,290.2,Updated_literature,Jackson (1972); Dunning (2021),NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Aerial,African Goshawk,Accipiter tachiro
Accipiter toussenelii,Accipitridae,Accipitriformes,AVIBASE-8AFD72B2,6,2,2,2,5,24.4,13.9,9.2,11.9,62.1,189,48.2,149.6,24.4,157.2,249.3,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,NA,NA
Accipiter trinotatus,Accipitridae,Accipitriformes,AVIBASE-0BED8100,8,2,3,3,4,20.4,13.3,8.6,11.2,48.2,162.9,43,115,27.2,128.8,146,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,Spot-tailed Goshawk,Accipiter trinotatus
Accipiter trivirgatus,Accipitridae,Accipitriformes,AVIBASE-0D4EE0EB,15,9,4,2,12,31.7,17.3,10.5,14.1,56.9,216.2,49.6,166.1,23,171.9,265,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,Crested Goshawk,Accipiter trivirgatus
Accipiter virgatus,Accipitridae,Accipitriformes,AVIBASE-AB823002,15,9,5,1,13,21.2,11.7,7.6,10.2,49.8,167.7,46.7,123.1,27.4,123.9,117,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Vertivore,Generalist,Besra,Accipiter virgatus
Aegypius monachus,Accipitridae,Accipitriformes,AVIBASE-158BDC90,4,2,2,0,4,87.8,59.9,27.9,39.8,134.2,734.2,302.2,432,41.1,371,9320.6,Dunning,NA,NO,NA,NA,Forest,2,1,Scavenger,Scavenger,Terrestrial,Cinereous Vulture,Aegypius monachus
Aquila adalberti,Accipitridae,Accipitriformes,AVIBASE-69742EE4,4,3,1,0,4,61.2,39.8,21.1,31,98.4,592.5,235,357.5,39.7,297,2958,Dunning,NA,NO,NA,NA,Woodland,1,2,Carnivore,Vertivore,Generalist,Spanish Eagle,Aquila adalberti
Aquila africana,Accipitridae,Accipitriformes,AVIBASE-51FD3E3C,4,2,2,0,4,39.4,23.4,12.8,20.4,76.6,342.2,93.8,248.4,27.4,277.8,1047,Dunning,NA,NO,NA,NA,Woodland,1,2,Carnivore,Vertivore,Generalist,Cassin's Hawk-Eagle,Aquila africana
Aquila audax,Accipitridae,Accipitriformes,AVIBASE-5E574D70,6,2,4,0,6,60.5,40.9,19.6,31.2,104,617.7,244.5,373.2,39.6,387,3449.9,Dunning,NA,NO,NA,NA,Woodland,1,2,Carnivore,Vertivore,Generalist,Wedge-tailed Eagle,Aquila audax
Aquila chrysaetos,Accipitridae,Accipitriformes,AVIBASE-5F8E7CA8,8,2,6,0,8,56.8,37,18.5,28.4,101.4,603.1,221.2,381.9,36.7,307.1,4248,Dunning,NA,NO,NA,NA,Grassland,3,2,Carnivore,Vertivore,Aerial,Golden Eagle,Aquila chrysaetos
Aquila fasciata,Accipitridae,Accipitriformes,AVIBASE-05F11441,4,2,2,0,4,45.7,28.9,16.2,23.7,93.2,486.8,181.8,305,37.3,260,1936.5,Dunning,NA,NO,NA,NA,Rock,3,2,Carnivore,Vertivore,Aerial,Bonelli's Eagle,Aquila fasciata
Aquila gurneyi,Accipitridae,Accipitriformes,AVIBASE-22A50A54,4,2,1,1,3,55.4,33.3,16.6,21.9,99.4,544.5,183.8,360.8,33.8,365.5,3060,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Aerial,Gurney's Eagle,Aquila gurneyi
Aquila heliaca,Accipitridae,Accipitriformes,AVIBASE-469DCF57,5,2,3,0,3,59,37.5,19.8,28.4,93.7,582.2,230.8,354,39.5,316.2,3125.2,Dunning,NA,NO,NA,NA,Woodland,1,3,Carnivore,Vertivore,Generalist,Imperial Eagle,Aquila heliaca
Aquila nipalensis,Accipitridae,Accipitriformes,AVIBASE-A635F565,5,2,3,0,4,54.1,32.4,17.7,25.2,95.1,559.6,225.2,332,40.5,271.4,2714.3,Dunning,NA,NO,NA,NA,Grassland,3,3,Carnivore,Vertivore,Aerial,Steppe Eagle,Aquila nipalensis
Aquila rapax,Accipitridae,Accipitriformes,AVIBASE-F6D547B2,5,2,3,0,4,54,31.5,16.8,24.3,84.3,506.6,196,310,38.7,242.4,2236.1,Dunning,NA,NO,NA,NA,Shrubland,2,3,Carnivore,Vertivore,Generalist,Tawny Eagle,Aquila rapax
Aquila spilogaster,Accipitridae,Accipitriformes,AVIBASE-9A418C45,5,2,3,0,4,44,27.5,14.4,22.6,91.1,427.6,151.2,278.8,35.2,254.8,1466.2,Dunning,NA,NO,NA,NA,Grassland,3,1,Carnivore,Vertivore,Generalist,African Hawk-Eagle,Aquila spilogaster
Aquila verreauxii,Accipitridae,Accipitriformes,AVIBASE-14F13C32,4,2,2,0,4,58.2,35.5,18.3,27.6,117.4,590.2,200.5,389.8,34,403.5,4195,Dunning,NA,NO,NA,NA,Rock,3,1,Carnivore,Vertivore,Aerial,Verreaux's Eagle,Aquila verreauxii
Aviceda cuculoides,Accipitridae,Accipitriformes,AVIBASE-648936C0,5,2,3,0,3,25.5,17.1,10.6,13.9,33,264.6,114,153.5,42.4,154.2,277,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,African Cuckoo-Hawk,Aviceda cuculoides
Aviceda jerdoni,Accipitridae,Accipitriformes,AVIBASE-0C89F1D6,5,1,3,1,4,45.5,21.7,12.9,15.9,34.7,302.8,76.9,222.9,25.6,211,363,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Omnivore,Insessorial,Jerdon's Baza,Aviceda jerdoni
Aviceda leuphotes,Accipitridae,Accipitriformes,AVIBASE-139A5705,5,2,3,0,4,24.6,16.4,10.2,12.5,25,230.6,82,150.2,35.3,124,194,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Insessorial,Black Baza,Aviceda leuphotes
Aviceda madagascariensis,Accipitridae,Accipitriformes,AVIBASE-C8E60C39,5,2,3,0,4,28.6,20.1,11.6,16.2,38.7,314.2,106,207.5,33.8,169.2,277,Inferred,NA,YES,Body Mass,Aviceda cuculoides,Forest,1,1,Carnivore,Vertivore,Insessorial,Madagascar Cuckoo-Hawk,Aviceda madagascariensis
Aviceda subcristata,Accipitridae,Accipitriformes,AVIBASE-010AC994,5,2,3,0,3,28.3,19.7,11.6,14.7,36.3,336.6,134.5,200,40.2,202,322.7,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Omnivore,Insessorial,Pacific Baza,Aviceda subcristata
Busarellus nigricollis,Accipitridae,Accipitriformes,AVIBASE-37148B74,6,1,2,3,5,40.8,27.1,12.5,17.6,76.1,393.5,105.9,283.1,27,199.8,766.1,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Aquatic predator,Insessorial,Black-collared Hawk,Busarellus nigricollis
Butastur indicus,Accipitridae,Accipitriformes,AVIBASE-2E1D79FE,5,0,2,3,4,40.5,18.4,10.4,14.5,53.4,327.6,155.1,175.9,46.9,191.8,414.6,Dunning,NA,NO,NA,NA,Woodland,2,3,Carnivore,Vertivore,Insessorial,Gray-faced Buzzard,Butastur indicus
Butastur liventer,Accipitridae,Accipitriformes,AVIBASE-DAB52BF2,5,2,3,0,4,31.3,17,10.5,14,61.7,275,115.6,159.4,42,149,338,Dunning,NA,NO,NA,NA,Woodland,3,1,Carnivore,Vertivore,Insessorial,Rufous-winged Buzzard,Butastur liventer
Butastur rufipennis,Accipitridae,Accipitriformes,AVIBASE-45A1D850,5,2,3,0,4,28.7,16.3,10.3,12.3,58.4,311.2,143.5,170,45.8,181.4,334.9,Dunning,NA,NO,NA,NA,Woodland,3,1,Carnivore,Invertivore,Insessorial,Grasshopper Buzzard,Butastur rufipennis
Butastur teesa,Accipitridae,Accipitriformes,AVIBASE-868CD246,5,2,3,0,4,30.6,18,10.7,13.8,60.4,295.4,132,165,44.5,191,325,Dunning,NA,NO,NA,NA,Woodland,3,1,Carnivore,Vertivore,Insessorial,White-eyed Buzzard,Butastur teesa
Buteo albigula,Accipitridae,Accipitriformes,AVIBASE-B7DB09E8,6,4,2,0,5,27.9,17.9,11.4,15.2,57.9,291,109.6,181.4,37.6,182.2,525,EltonTraits_Model,NA,NO,NA,NA,Forest,2,3,Carnivore,Vertivore,Generalist,White-throated Hawk,Buteo albigula
Buteo albonotatus,Accipitridae,Accipitriformes,AVIBASE-597D7DD6,5,1,3,1,3,35.1,21.1,12.7,16.9,70.4,398,159.7,236.7,40.3,217,745.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Aerial,Zone-tailed Hawk,Buteo albonotatus
Buteo archeri,Accipitridae,Accipitriformes,AVIBASE-DE8B3F6B,4,2,2,0,3,41.1,25.4,13.1,18.8,87.3,390.8,127.8,265.2,32.5,175.8,1099.2,DataFromSplit,NA,NO,NA,NA,Woodland,2,1,Carnivore,Vertivore,Insessorial,NA,NA
Buteo augur,Accipitridae,Accipitriformes,AVIBASE-D41EDD2E,10,4,6,0,5,43.4,23.9,13.5,19,90.1,418,129.7,289.8,31,193.6,1099.2,Dunning,NA,NO,NA,NA,Woodland,2,1,Carnivore,Vertivore,Insessorial,NA,NA
Buteo auguralis,Accipitridae,Accipitriformes,AVIBASE-A16C3B99,5,2,3,0,4,33.3,18.6,11.2,15.6,73.6,356.2,135.9,223.4,37.8,192.6,663.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,Red-necked Buzzard,Buteo auguralis
Buteo bannermani,Accipitridae,Accipitriformes,AVIBASE-5AA3C196,0,0,0,0,0,35.9,22.1,12.6,16.6,75.8,383.2,147.2,237.2,38.3,214.4,759.1,Inferred,NA,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length; Body Mass,Buteo buteo,Grassland,3,2,Carnivore,Vertivore,Insessorial,NA,NA
Buteo brachypterus,Accipitridae,Accipitriformes,AVIBASE-5CA7B50A,5,2,3,0,4,33.6,19.7,11.5,16.4,63.1,315.4,100.1,215.2,31.7,184.4,511,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,Madagascar Buzzard,Buteo brachypterus
Buteo brachyurus,Accipitridae,Accipitriformes,AVIBASE-81463CC0,5,1,4,0,4,31.1,17,10.4,14.9,53.8,307.6,90,213.3,29.7,171,496,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Aerial,Short-tailed Hawk,Buteo brachyurus
Buteo buteo,Accipitridae,Accipitriformes,AVIBASE-3C6D4915,18,6,10,2,9,35.9,22.1,12.6,16.6,75.8,383.2,147.2,237.2,38.3,214.4,759.1,Dunning,NA,NO,NA,NA,Grassland,3,2,Carnivore,Vertivore,Insessorial,Common Buzzard,Buteo buteo
Buteo galapagoensis,Accipitridae,Accipitriformes,AVIBASE-4D9F58B4,5,2,3,0,4,40.9,26,13.9,19.3,77,402.6,176.8,229.2,43.6,235.2,1137.4,Dunning,NA,NO,NA,NA,Woodland,1,1,Carnivore,Vertivore,Aerial,Galapagos Hawk,Buteo galapagoensis
Buteo hemilasius,Accipitridae,Accipitriformes,AVIBASE-92FFE8FF,5,2,3,0,4,40.7,23.1,14.7,18.8,80,467.2,179,290.2,38.2,251.4,1358.9,Dunning,NA,NO,NA,NA,Grassland,3,1,Carnivore,Vertivore,Generalist,Upland Buzzard,Buteo hemilasius
Buteo jamaicensis,Accipitridae,Accipitriformes,AVIBASE-536A5157,5,2,3,0,4,37.6,22.9,14.4,20.2,80.9,402.8,139.9,270.8,34.1,212.2,1101.2,Dunning,NA,NO,NA,NA,Woodland,2,3,Carnivore,Vertivore,Insessorial,Red-tailed Hawk,Buteo jamaicensis
Buteo japonicus,Accipitridae,Accipitriformes,AVIBASE-3895BE56,4,2,2,0,4,34.5,19.4,11.7,15.8,77,395,163,232,41.2,212,759.1,DataFromSplit,NA,NO,NA,NA,Grassland,3,2,Carnivore,Vertivore,Insessorial,Eastern Buzzard,Buteo japonicus
Buteo lagopus,Accipitridae,Accipitriformes,AVIBASE-90B13ACF,7,3,4,0,4,34.5,20.2,11.7,15.9,72.3,428.3,180.3,248.5,42.1,240,949.8,Dunning,NA,NO,NA,NA,Grassland,3,3,Carnivore,Vertivore,Insessorial,Rough-legged Hawk,Buteo lagopus
Buteo lineatus,Accipitridae,Accipitriformes,AVIBASE-EA4D6C0B,5,2,2,1,4,33.1,20.3,11.8,16.3,74.1,319,106.9,212.8,33.4,172.8,603.7,Dunning,NA,NO,NA,NA,Woodland,1,3,Carnivore,Vertivore,Aerial,Red-shouldered Hawk,Buteo lineatus
Buteo nitidus,Accipitridae,Accipitriformes,AVIBASE-4ECE179D,10,3,7,0,2,30.3,18.5,11.2,15.3,64.6,247.3,71.9,189.5,27.5,170.6,519,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,Gray-lined Hawk,Buteo nitidus
Buteo oreophilus,Accipitridae,Accipitriformes,AVIBASE-5BFEFD9A,7,2,4,1,4,35.1,19.6,11.4,15.3,70.9,346,124.7,221.3,36,182.5,700,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,Mountain Buzzard,Buteo oreophilus
Buteo plagiatus,Accipitridae,Accipitriformes,AVIBASE-943AA4FB,4,2,2,0,4,34.1,20.9,11.4,17.2,78.7,267.9,81.6,186.3,30.5,162,519,DataFromSplit,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,Gray Hawk,Buteo plagiatus
Buteo platypterus,Accipitridae,Accipitriformes,AVIBASE-79F3C681,13,6,7,0,4,28.3,17.8,11.1,14.4,53.4,277.7,103.7,177.4,36.9,178.8,453.7,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Vertivore,Insessorial,Broad-winged Hawk,Buteo platypterus
Buteo refectus,Accipitridae,Accipitriformes,AVIBASE-1029A4CA,3,2,1,0,3,33.4,20.4,11.8,16.1,64.9,346,125.7,220.3,36.3,173.3,759.1,DataFromSplit,NA,NO,NA,NA,Grassland,3,2,Carnivore,Vertivore,Insessorial,Himalayan Buzzard,Buteo refectus
