Species common name,nest_height,scientific_name,common_name
African Yellow White-eye,2.75,Zosterops senegalensis,African Yellow White-eye
Agami Heron,2.5,Agamia agami,Agami Heron
Agile Tit-tyrant,NA,Uromyias agilis,Agile Tit-tyrant
Aguijan Reed-warbler,NA,Acrocephalus nijoi,Aguijan Reed-warbler
Ahanta Francolin,0,Pternistis ahantensis,Ahanta Francolin
Akekee,15.2,Loxops caeruleirostris,Akekee
Akiapolaau,18,Hemignathus wilsoni,Akiapolaau
Akikiki,11.425,Oreomystis bairdi,Akikiki
Akohekohe,19.175,Palmeria dolei,Akohekohe
Akun Eagle-owl,NA,Bubo leucostictus,Akun Eagle-owl
Ala Shan Redstart,3.75,Phoenicurus alaschanicus,Ala Shan Redstart
Alagoas Antwren,NA,Myrmotherula snowi,Alagoas Antwren
Alagoas Curassow,NA,Mitu mitu,Alagoas Curassow
Alagoas Foliage-gleaner,NA,Philydor novaesi,Alagoas Foliage-gleaner
Alagoas Tyrannulet,NA,Phylloscartes ceciliae,Alagoas Tyrannulet
Alaotra Grebe,NA,Tachybaptus rufolavatus,Alaotra Grebe
Albert's Lyrebird,NA,Menura alberti,Albert's Lyrebird
Albertine Owlet,NA,Glaucidium albertinum,Albertine Owlet
Albertine Sooty Boubou,NA,Laniarius holomelas,Albertine Sooty Boubou
Aldabra Brush-warbler,2.1,Nesillas aldabrana,Aldabra Brush-warbler
Aldabra Drongo,8.5,Dicrurus aldabranus,Aldabra Drongo
Aldabra Fody,NA,Foudia aldabrana,Aldabra Fody
Alder Flycatcher,1.3125,Empidonax alnorum,Alder Flycatcher
Aleutian Tern,0,Onychoprion aleuticus,Aleutian Tern
Alexander's Swift,NA,Apus alexandri,Alexander's Swift
Alexandrine Parakeet,NA,Psittacula eupatria,Alexandrine Parakeet
Algerian Nuthatch,10.5,Sitta ledanti,Algerian Nuthatch
Allen's Gallinule,NA,Porphyrio alleni,Allen's Gallinule
Allen's Hummingbird,8,Selasphorus sasin,Allen's Hummingbird
Allied Owlet-nightjar,NA,Aegotheles affinis,Allied Owlet-nightjar
Allpahuayo Antbird,NA,Percnostola arenarum,Allpahuayo Antbird
Alpine Accentor,NA,Prunella collaris,Alpine Accentor
