species_code,scientific_name,common_name,order,family,family_common,category,taxon_order,report_as,extinct,lookup_species
redcro,Loxia curvirostra,Red Crossbill,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",species,31977,NA,FALSE,Loxia curvirostra
easowl1,Megascops asio,Eastern Screech-Owl,Strigiformes,Strigidae,Owls,species,8664,NA,FALSE,Megascops asio
rebwoo,Melanerpes carolinus,Red-bellied Woodpecker,Piciformes,Picidae,Woodpeckers,species,10979,NA,FALSE,Melanerpes carolinus
rehwoo,Melanerpes erythrocephalus,Red-headed Woodpecker,Piciformes,Picidae,Woodpeckers,species,10926,NA,FALSE,Melanerpes erythrocephalus
wiltur,Meleagris gallopavo,Wild Turkey,Galliformes,Phasianidae,"Pheasants, Grouse, and Allies",species,1222,NA,FALSE,Meleagris gallopavo
bawwar,Mniotilta varia,Black-and-white Warbler,Passeriformes,Parulidae,New World Warblers,species,33435,NA,FALSE,Mniotilta varia
bnhcow,Molothrus ater,Brown-headed Cowbird,Passeriformes,Icteridae,Troupials and Allies,species,33307,NA,FALSE,Molothrus ater
grcfly,Myiarchus crinitus,Great Crested Flycatcher,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,17021,NA,FALSE,Myiarchus crinitus
helgui,Numida meleagris,Helmeted Guineafowl,Galliformes,Numididae,Guineafowl,species,930,NA,FALSE,Numida meleagris
conwar,Oporornis agilis,Connecticut Warbler,Passeriformes,Parulidae,New World Warblers,species,33464,NA,FALSE,Oporornis agilis
louwat,Parkesia motacilla,Louisiana Waterthrush,Passeriformes,Parulidae,New World Warblers,species,33425,NA,FALSE,Parkesia motacilla
foxspa,Passerella iliaca,Fox Sparrow,Passeriformes,Passerellidae,New World Sparrows,species,32571,NA,FALSE,Passerella iliaca
blugrb1,Passerina caerulea,Blue Grosbeak,Passeriformes,Cardinalidae,Cardinals and Allies,species,34051,NA,FALSE,Passerina caerulea
compea,Pavo cristatus,Indian Peafowl,Galliformes,Phasianidae,"Pheasants, Grouse, and Allies",species,1515,NA,FALSE,Pavo cristatus
robgro,Pheucticus ludovicianus,Rose-breasted Grosbeak,Passeriformes,Cardinalidae,Cardinals and Allies,species,34009,NA,FALSE,Pheucticus ludovicianus
eastow,Pipilo erythrophthalmus,Eastern Towhee,Passeriformes,Passerellidae,New World Sparrows,species,32888,NA,FALSE,Pipilo erythrophthalmus
westan,Piranga ludoviciana,Western Tanager,Passeriformes,Cardinalidae,Cardinals and Allies,species,33892,NA,FALSE,Piranga ludoviciana
scatan,Piranga olivacea,Scarlet Tanager,Passeriformes,Cardinalidae,Cardinals and Allies,species,33889,NA,FALSE,Piranga olivacea
sumtan,Piranga rubra,Summer Tanager,Passeriformes,Cardinalidae,Cardinals and Allies,species,33885,NA,FALSE,Piranga rubra
